Entertainer,Birth Year,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Age,Number of Albums,Number of Singles,Number of Films,Number of TV Shows,Number of Marriages,Number of Children
Adele,1988,2008,20,,,,,,
Angelina Jolie,1975,1999,24,,,,,,
Aretha Franklin,1942,1967,25,,,,,,
Bette Davis,1908,1934,26,,,,,,
Betty White,1922,1952,30,,,,,,
Bing Crosby,1903,1931,28,,,,,,
Bob Hope,1903,1938,35,,,,,,
Carol Burnett,1933,1959,26,,,,,,
Carole Lombard,1908,1934,26,,,,,,
Carrie Fisher,1956,1977,21,,,,,,
Cary Grant,1904,1933,29,,,,,,
Charlie Chaplin,1889,1915,26,,,,,,
Clara Bow,1905,1926,21,,,,,,
Clark Gable,1901,1934,33,,,,,,
David Letterman,1947,1982,35,,,,,,
Debbie Reynolds,1932,1952,20,,,,,,
Denzel Washington,1954,1989,35,,,,,,
Dick Van Dyke,1925,1961,36,,,,,,
Donald Sutherland,1935,1967,32,,,,,,
Dustin Hoffman,1937,1967,30,,,,,,
Ed Sullivan,1901,1948,47,,,,,,
Eddie Murphy,1961,1980,19,,,,,,
Elton John,1947,1972,25,,,,,,
Elvis Presley,1935,1956,21,,,,,,
Frank Sinatra,1915,1940,25,,,,,,
Gene Hackman,1930,1967,37,,,,,,
George Michael,1963,1984,21,,,,,,
Gregory Peck,1916,1944,28,,,,,,
Greta Garbo,1905,1930,25,,,,,,
Humphrey Bogart,1899,1936,37,,,,,,
James Dean,1931,1953,22,,,,,,
Jay Leno,1950,1992,42,,,,,,
Jennifer Aniston,1969,1994,25,,,,,,
Jerry Seinfeld,1954,1988,34,,,,,,
Jimmy Page,1944,1969,25,,,,,,
Jimmy Stewart,1908,1938,30,,,,,,
Joan Crawford,1904,1928,24,,,,,,
John Lennon,1940,1963,23,,,,,,
John Wayne,1907,1939,32,,,,,,
Johnny Carson,1925,1962,37,,,,,,
Johnny Depp,1963,1987,24,,,,,,
Justin Timberlake,1981,2000,19,,,,,,
Katherine Hepburn,1907,1933,26,,,,,,
Keifer Sutherland,1966,2001,35,,,,,,
Kirk Douglas,1916,1949,33,,,,,,
Lady Gaga,1986,2008,22,,,,,,
Leonard Bernstein,1918,1957,39,,,,,,
Leonardo DiCaprio,1974,1997,23,,,,,,
Louis Armstrong,1901,1964,63,,,,,,
Madonna,1958,1984,26,,,,,,
Mariah Carey,1969,1990,21,,,,,,
Marlon Brando,1924,1951,27,,,,,,
Mary Tyler Moore,1936,1961,25,,,,,,
Meryl Streep,1949,1978,29,,,,,,
Mick Jagger,1943,1965,22,,,,,,
Morgan Freeman,1937,1989,52,,,,,,
Oprah Winfrey,1954,1985,31,,,,,,
Paul McCartney,1942,1963,21,,,,,,
Paul Newman,1925,1958,33,,,,,,
Peter O'Toole,1932,1962,30,,,,,,
Prince,1958,1979,21,,,,,,
Robert Redford,1936,1969,33,,,,,,
Sidney Poitier,1927,1955,28,,,,,,
Sly Stone,1943,1968,25,,,,,,
Stevie Wonder,1950,1963,13,,,,,,
Tom Hanks,1956,1984,28,,,,,,
Tony Bennett,1926,1951,25,,,,,,
Wayne Newton,1942,1972,30,,,,,,
Will Smith,1968,1990,22,,,,,,
Willie Nelson,1933,1975,42,,,,,,
